nA,nB,Nu,NM,result
5,1,1,100,12.815960040069843
5,1,1,200,8.372452699880458
5,1,1,500,6.287971977997271
5,1,1,1000,5.7392555566762855
5,1,1,2000,5.391866158754031
5,1,1,5000,5.21887630463709
5,1,1,10000,5.118322404871445
5,1,1,20000,5.106081931503891
5,1,1,50000,5.083256976562308
5,1,1,100000,5.082242164763128
6,1,1,100,14.598920287413248
6,1,1,200,7.560967155324292
6,1,1,500,4.5277536364684
6,1,1,1000,3.7550601687949277
6,1,1,2000,3.4395750847568825
6,1,1,5000,3.18771287298437
6,1,1,10000,3.104520320863261
6,1,1,20000,3.071213277665395
6,1,1,50000,3.0468273930262852
6,1,1,100000,3.0459336440293416
7,1,1,100,20.028380651220427
7,1,1,200,8.707090137729097
7,1,1,500,3.711631900493991
7,1,1,1000,2.6199360279351356
7,1,1,2000,2.1460076136273676
7,1,1,5000,1.8877681512069273
7,1,1,10000,1.8120319450086648
7,1,1,20000,1.7618916343591597
7,1,1,50000,1.7302641409203638
7,1,1,100000,1.725410169139491
8,1,1,100,38.78014217650535
8,1,1,200,11.242788649157673
8,1,1,500,3.268193516991404
8,1,1,1000,1.846964664532109
8,1,1,2000,1.2957107041276923
8,1,1,5000,1.0186837407715779
8,1,1,10000,0.9368825533943244
8,1,1,20000,0.9022063915994715
8,1,1,50000,0.8753336737468673
8,1,1,100000,0.8690238601473113
9,1,1,100,87.90841393711581
9,1,1,200,20.155848678685008
9,1,1,500,3.8882500614146016
9,1,1,1000,1.6627428720534878
9,1,1,2000,0.9425722501600096
9,1,1,5000,0.616714786310298
9,1,1,10000,0.5249255941233498
9,1,1,20000,0.48429342302574657
9,1,1,50000,0.4564280819207747
9,1,1,100000,0.4491423382212719
10,1,1,100,279.7436343797934
10,1,1,200,49.45744059878124
10,1,1,500,6.4707516924010555
10,1,1,1000,1.9984076431656304
10,1,1,2000,0.8481721556542663
10,1,1,5000,0.4135042679929263
10,1,1,10000,0.3133815691980341
10,1,1,20000,0.26641932915056654
10,1,1,50000,0.24099943280918906
10,1,1,100000,0.2324226202589219
11,1,1,100,954.9107047381561
11,1,1,200,141.4072423361622
