nA,nB,Nu,NM,result
5,1,10,100,0.9226703940630799
5,1,10,200,0.7819495903761231
5,1,10,500,0.6827139559813603
5,1,10,1000,0.6495774107966081
5,1,10,2000,0.6288348527604343
5,1,10,5000,0.6213014015905356
5,1,10,10000,0.6225400378367538
5,1,10,20000,0.632566223447903
5,1,10,50000,0.6291766993092305
5,1,10,100000,0.6241968283993314
6,1,10,100,0.9736279025355598
6,1,10,200,0.6973953744479975
6,1,10,500,0.5563205697370645
6,1,10,1000,0.49677782021797345
6,1,10,2000,0.477739500315443
6,1,10,5000,0.4682990400765157
6,1,10,10000,0.4540788915449806
6,1,10,20000,0.45562529937753915
6,1,10,50000,0.45297428749876134
6,1,10,100000,0.44791935784036957
7,1,10,100,1.1303458978354979
7,1,10,200,0.7260509933911984
7,1,10,500,0.4739048077224328
7,1,10,1000,0.3934672909562067
7,1,10,2000,0.36173409977060605
7,1,10,5000,0.33888079741438226
7,1,10,10000,0.33583327860033785
7,1,10,20000,0.3290309330550058
7,1,10,50000,0.32395468080413803
7,1,10,100000,0.32643139348774863
8,1,10,100,1.5258909635126778
8,1,10,200,0.8219682175727121
8,1,10,500,0.4466300449303426
8,1,10,1000,0.3385566337595311
8,1,10,2000,0.28712729801489334
8,1,10,5000,0.2519182164475229
8,1,10,10000,0.2458714470650362
8,1,10,20000,0.24105941633201675
8,1,10,50000,0.2387564198854302
8,1,10,100000,0.2339942265325898
9,1,10,100,2.4459211290043292
9,1,10,200,1.0983638502817115
9,1,10,500,0.4944935885303137
9,1,10,1000,0.3265849191254582
9,1,10,2000,0.24446593459660762
9,1,10,5000,0.1971069110102299
9,1,10,10000,0.18402295559466983
9,1,10,20000,0.17167419664903485
9,1,10,50000,0.16953321479129255
9,1,10,100000,0.16736870455866537
5,1,1,100,2.6349549412492266
5,1,1,200,2.1396063876960563
5,1,1,500,1.8991967321244898
5,1,1,1000,1.8228735602375923
5,1,1,2000,1.7583018606179968
5,1,1,5000,1.7651508936040656
5,1,1,10000,1.745980881806441
5,1,1,20000,1.7272607690737873
5,1,1,50000,1.7481827819601232
5,1,1,100000,1.7471892097118393
6,1,1,100,2.7463342807668525
6,1,1,200,2.0387588506167202
6,1,1,500,1.5848376257478813
6,1,1,1000,1.4699700309544013
6,1,1,2000,1.3927547668524953
6,1,1,5000,1.3676706594662127
6,1,1,10000,1.3429626164017512
6,1,1,20000,1.3193843511048617
6,1,1,50000,1.3308100218289582
6,1,1,100000,1.3191364526986742
7,1,1,100,3.1929210018552876
7,1,1,200,2.0491872977006245
7,1,1,500,1.41611406637854
7,1,1,1000,1.2009757173397848
7,1,1,2000,1.095380981263004
7,1,1,5000,1.0378356118982548
7,1,1,10000,1.0225207981034887
7,1,1,20000,1.003613362131077
7,1,1,50000,0.9901910304444069
7,1,1,100000,0.9944856673411275
8,1,1,100,4.399462787878788
8,1,1,200,2.4005365098218365
8,1,1,500,1.3442126131781635
8,1,1,1000,1.0403299719294445
8,1,1,2000,0.8705637254723458
8,1,1,5000,0.777605377835615
8,1,1,10000,0.7474711983698726
8,1,1,20000,0.728938375232197
8,1,1,50000,0.7296045172396797
8,1,1,100000,0.7208684725126592
9,1,1,100,6.7442966406926415
9,1,1,200,3.2733987361047663
9,1,1,500,1.4962496619648935
9,1,1,1000,0.9715921214729758
9,1,1,2000,0.7524817794615024
9,1,1,5000,0.6171630719312458
9,1,1,10000,0.5732060846506464
9,1,1,20000,0.547586334369586
9,1,1,50000,0.5288463766273751
9,1,1,100000,0.5197156997462599
10,1,1,500,1.9164403396672864
10,1,1,1000,1.07393321421943
10,1,1,2000,0.7164250805486828
10,1,1,5000,0.501970581885155
10,1,1,10000,0.4437896691495179
10,1,1,20000,0.40355499229320424
10,1,1,50000,0.3866798022708229
10,1,1,100000,0.380027810758987
6,1,1,100,2.7610747359306242
6,1,1,200,2.0134810586264593
6,1,1,500,1.6027663601129958
6,1,1,1000,1.4577309307046502
6,1,1,2000,1.3849208504119885
6,1,1,5000,1.344729946173554
6,1,1,10000,1.334486534908275
6,1,1,20000,1.3279871021788843
6,1,1,50000,1.3238850879491995
6,1,1,100000,1.3228495238146225
7,1,1,100,3.2446579888681715
7,1,1,200,2.0735183474950483
7,1,1,500,1.411506763135909
7,1,1,1000,1.2041848436861728
7,1,1,2000,1.0885924799805289
7,1,1,5000,1.019261780394962
7,1,1,10000,1.0004489362821247
7,1,1,20000,0.9918869936430182
7,1,1,50000,0.9859541860743276
7,1,1,100000,0.9833458779353574
11,1,1,100,16.532255567099504
11,1,1,200,8.357080309425815
11,1,1,500,2.8505883529371783
11,1,1,1000,1.370439085190205
11,1,1,2000,0.7874164594176984
11,1,1,5000,0.4667423323023873
11,1,1,10000,0.3639382732952031
11,1,1,20000,0.3156252417064552
11,1,1,50000,0.2861536204657429
11,1,1,100000,0.27750973321883143
