nA,nB,Nu,NM,purity,thirdM
5,1,1,1,0.7468634920635149,0.7905445468509957
5,1,1,2,0.5947590551181212,0.5538616985376783
5,1,1,5,0.49920438871473205,0.4203806109895311
5,1,1,10,0.46405618153364464,0.3780675367565896
5,1,1,20,0.4473174354964823,0.3612318012531806
5,1,1,50,0.43952082900906597,0.34874365669736157
5,1,1,100,0.43646138927957634,0.34399392141458085
6,1,1,1,0.5384078740157464,0.6430892013498307
6,1,1,2,0.4258552941176371,0.4476101250578976
6,1,1,5,0.3627690766823159,0.34959254080386243
6,1,1,10,0.3392779358874122,0.31808093430533574
6,1,1,20,0.32949085971082503,0.3029864999812095
6,1,1,50,0.3243602806688547,0.29289129476554915
6,1,1,100,0.3218883193999548,0.2892927433860624
7,1,1,1,0.39458588235293535,0.504073584993053
7,1,1,2,0.3115305283757388,0.3548043167952107
7,1,1,5,0.263566567630962,0.2715911187217124
7,1,1,10,0.2472606096131301,0.24685950330297224
7,1,1,20,0.2385898456729841,0.23266100936973239
7,1,1,50,0.2338529385108212,0.2262340774660548
7,1,1,100,0.23234752349701193,0.22393889406665768
8,1,1,1,0.2797146771037334,0.38924774145274443
8,1,1,2,0.22209912023459794,0.2711900476898271
8,1,1,5,0.18746324345447404,0.20890613758917326
8,1,1,10,0.17499912873608106,0.18668140956833482
8,1,1,20,0.1688404648891494,0.1776400177916192
8,1,1,50,0.16597815539669453,0.1714109251015902
8,1,1,100,0.164766803375066,0.16965301617359643
9,1,1,1,0.1979702834799569,0.2898843966462184
9,1,1,2,0.15843033707866272,0.20093062524802008
9,1,1,5,0.13417951943739007,0.15281766719714487
9,1,1,10,0.12586651235472215,0.1392435209331132
9,1,1,20,0.12145603789247497,0.1311122432545684
9,1,1,50,0.11858702029336506,0.12691040343946516
9,1,1,100,0.11748330030566734,0.12568872777740722
10,1,1,1,0.1398524670249227,0.20568374747681586
10,1,1,2,0.11085506715506803,0.1447229485121615
10,1,1,5,0.09361986131458135,0.1108070183348575
10,1,1,10,0.08795064700424832,0.10026347114586917
10,1,1,20,0.0850175119021461,0.09514770616311315
10,1,1,50,0.0831211459096278,0.09190524553367972
10,1,1,100,0.08235220957133596,0.09088108564825746
11,1,1,1,0.09975697191697393,0.14828902589512738
11,1,1,2,0.07890046392381757,0.10390545152076582
11,1,1,5,0.06613917476439289,0.08063826057699522
11,1,1,10,0.062120931175077373,0.07330002743317526
11,1,1,20,0.059699692623200885,0.06957443141045197
11,1,1,50,0.05850778415910253,0.0675279715633891
11,1,1,100,0.05811123558407136,0.06683645010730253
9,1,5,1,0.08830928641250937,0.13524551629545928
9,1,5,2,0.07085140205178736,0.09486051932088596
9,1,5,5,0.05972028443055279,0.07190957084690318
9,1,5,10,0.05563204141029396,0.06518878088816944
9,1,5,20,0.05384425762976693,0.0618478564818538
9,1,5,50,0.05271709311510025,0.05941221490366563
9,1,5,100,0.052441943226008036,0.058748970457583906
9,1,10,1,0.06266660801563854,0.09647108297800293
9,1,10,2,0.050050161211533134,0.06770588477236562
9,1,10,5,0.04243406680992386,0.05208921218997242
9,1,10,10,0.03984051430803781,0.046889253189444306
9,1,10,20,0.038469138629816,0.04395347127434796
9,1,10,50,0.037826331717416284,0.04266863421314062
9,1,10,100,0.03758607961405875,0.04225517320981566
9,1,20,1,0.04451006842619616,0.06765359085457198
9,1,20,2,0.03510970200293373,0.0476176311661296
9,1,20,5,0.02987590779449117,0.03662627116686162
9,1,20,10,0.028163677800566507,0.03316460751618082
9,1,20,20,0.027165256848479088,0.031411063722741675
9,1,20,50,0.02656729812691658,0.030399644425712802
9,1,20,100,0.026370496997040964,0.030094427550232557
9,1,100,1,0.02002668035190564,0.03119789063477403
9,1,100,2,0.015910110893991133,0.021937805112839496
9,1,100,5,0.01340484836882201,0.017050238117332698
9,1,100,10,0.012629214767067092,0.015515251322594974
9,1,100,20,0.012232555783973833,0.014648664366870135
9,1,100,50,0.012015615281548453,0.014255976181718637
9,1,100,100,0.011914203227961256,0.01408057618772941
